"","zcta","boro","pop_prc_ch","pov_pct_ch","hh_inc_med_ch","rent_gross_med_ch","norm_rental_ch","total_bach_degree_prc_ch","pop_race_asian_prc_ch","pop_race_black_prc_ch","pop_race_hisp_prc_ch","pop_race_white_prc_ch","avg_eviction_1000"
"36","10039","Manhattan","0.067308752711098","0.0701450769570661","-0.0442436471035471","0.133037694013304","0.0452141890211483","0.119436392014463","0.276713299750506","-0.0784774183667504","0.0555094720716755","0.298943917694313","4.57"
"37","10040","Manhattan","0.0511488381192531","0.0446803704540321","0.144186145076183","0.161890007745933","-0.0151355714503487","0.106351265374666","0.0213729340533464","-0.0845775492383097","-0.0123595286264897","0.0268849786910084","2.52"
"38","10004","Manhattan","0.0702341137123746","0.0702341137123746","0.0937629049483802","0.343719252213841","0.0211136424116153","0.201453507120954","0.464953100810491","-22.4467625899281","-0.0803843411757081","-0.124687497610838","0"
"39","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"40","10044","Manhattan","-0.0306404353285894","-0.00428530616131797","0.186757068978547","0.133766233766234","-0.131942276541842","0.241317601368133","0.301245532032814","-0.327016407269839","-0.112305144582881","-0.0879162990894654","0.92"
"41","10004","Manhattan","0.0702341137123746","0.0702341137123746","0.0937629049483802","0.343719252213841","0.0211136424116153","0.201453507120954","0.464953100810491","-22.4467625899281","-0.0803843411757081","-0.124687497610838","0"
"42","10022","Manhattan","0.0483656311877171","0.0392143918138307","0.197585730586752","0.187576126674787","-0.124659750048997","0.030472066384711","0.102006631557493","-0.728861703462541","-0.0114588684449934","-0.0139209049692827","0"
"43","10065","Manhattan","-0.109656688652122","-0.108870830641597","0.115522594552855","0.184067085953878","-0.129605445585443","0.0223651551455424","-0.274395431130274","0.0614442601675853","0.270450351362722","0.0165245518538465","1.35"
"44","10069","Manhattan","-0.0315688161693936","-0.0315688161693936","-0.360774588818789","0.343934426229508","-0.189543820344836","-0.57307696932985","0.155468517940181","0.623355198647908","-4.43622785930943","-0.0509153812249599","0.77"
"45","10075","Manhattan","-0.0582873170304146","-0.0558887556088676","0.22676975785916","0.124700239808153","0.0828796506985741","-0.148110148149545","-0.525656886698691","-0.210278057004636","0.465271570681609","-0.0621478630177109","0.85"
"46","10282","Manhattan","0.0242735648476258","0.0242735648476258","0.0663677345290619","0.324442943956786","-0.13384106163835","0.139402699049762","0.372127722611413","0.575912788112935","-2.41625809575692","0.0914764520015248","0"
"47","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"48","10019","Manhattan","0.0298374687439892","0.0295253729901984","0.187194007853588","0.167036872501111","-0.0547100080360487","0.0358625133214488","0.218877336838201","0.129738291458891","-0.0747742316584842","-0.08751504874996","0"
"49","10019","Manhattan","0.0298374687439892","0.0295253729901984","0.187194007853588","0.167036872501111","-0.0547100080360487","0.0358625133214488","0.218877336838201","0.129738291458891","-0.0747742316584842","-0.08751504874996","0"
"50","10019","Manhattan","0.0298374687439892","0.0295253729901984","0.187194007853588","0.167036872501111","-0.0547100080360487","0.0358625133214488","0.218877336838201","0.129738291458891","-0.0747742316584842","-0.08751504874996","0"
"51","10019","Manhattan","0.0298374687439892","0.0295253729901984","0.187194007853588","0.167036872501111","-0.0547100080360487","0.0358625133214488","0.218877336838201","0.129738291458891","-0.0747742316584842","-0.08751504874996","0.01"
"52","10001","Manhattan","0.140643921994404","0.1599007962407","0.106581711080602","0.073744769874477","0.0105577980779484","0.0950409806711808","0.166484969512994","0.366975360227793","-0.1104005157301","-0.0945904626926264","0.01"
"53","10001","Manhattan","0.140643921994404","0.1599007962407","0.106581711080602","0.073744769874477","0.0105577980779484","0.0950409806711808","0.166484969512994","0.366975360227793","-0.1104005157301","-0.0945904626926264","0"
"54","10011","Manhattan","-0.0225197688864349","-0.0142083760993379","0.17606811246023","0.156235294117647","-0.0774236602833457","0.00333304776820286","0.116870227955133","0.179761895134073","-0.0703984210410419","-0.00514447158787322","0"
"55","10001","Manhattan","0.140643921994404","0.1599007962407","0.106581711080602","0.073744769874477","0.0105577980779484","0.0950409806711808","0.166484969512994","0.366975360227793","-0.1104005157301","-0.0945904626926264","0"
"56","10001","Manhattan","0.140643921994404","0.1599007962407","0.106581711080602","0.073744769874477","0.0105577980779484","0.0950409806711808","0.166484969512994","0.366975360227793","-0.1104005157301","-0.0945904626926264","0.01"
"57","10128","Manhattan","0.0525955086623209","0.0495978981769248","0.133673405576351","0.140457302846477","-0.0206265662209131","0.013521278124126","-0.060189619742343","-0.0728821653029352","0.236841056150002","-0.0544207556083904","0.83"
"58","10022","Manhattan","0.0483656311877171","0.0392143918138307","0.197585730586752","0.187576126674787","-0.124659750048997","0.030472066384711","0.102006631557493","-0.728861703462541","-0.0114588684449934","-0.0139209049692827","0"
"59","10022","Manhattan","0.0483656311877171","0.0392143918138307","0.197585730586752","0.187576126674787","-0.124659750048997","0.030472066384711","0.102006631557493","-0.728861703462541","-0.0114588684449934","-0.0139209049692827","0.01"
"60","10016","Manhattan","-0.0228580314103561","-0.02663680358357","0.0665537757437071","0.201516360734238","-0.0380508074025919","0.0513567333746427","0.321285704304005","-0.124454903209532","0.117337720331749","-0.14733953056342","0"
"61","10162","Manhattan","-0.200906344410876","-0.200906344410876","0.0910151755875746","0.34757091620476","0.112282402358738","-0.174047982659244","-16.0704402515723","-1","-1","0.264699094108822","0.5"
"62","10017","Manhattan","0.0153160849402001","0.0168415914083476","0.0862588525268214","0.107493309545049","-0.163786398772107","0.0453214224193387","0.0276874288587708","-0.30571269221576","0.0906011872643624","-0.00566342127489141","0"
"63","10017","Manhattan","0.0153160849402001","0.0168415914083476","0.0862588525268214","0.107493309545049","-0.163786398772107","0.0453214224193387","0.0276874288587708","-0.30571269221576","0.0906011872643624","-0.00566342127489141","0.04"
"64","10017","Manhattan","0.0153160849402001","0.0168415914083476","0.0862588525268214","0.107493309545049","-0.163786398772107","0.0453214224193387","0.0276874288587708","-0.30571269221576","0.0906011872643624","-0.00566342127489141","0"
"65","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"66","10017","Manhattan","0.0153160849402001","0.0168415914083476","0.0862588525268214","0.107493309545049","-0.163786398772107","0.0453214224193387","0.0276874288587708","-0.30571269221576","0.0906011872643624","-0.00566342127489141","0"
"67","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"68","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"69","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"70","10004","Manhattan","0.0702341137123746","0.0702341137123746","0.0937629049483802","0.343719252213841","0.0211136424116153","0.201453507120954","0.464953100810491","-22.4467625899281","-0.0803843411757081","-0.124687497610838","0"
"71","10280","Manhattan","0.225050916496945","0.225050916496945","0.220475904323531","0.372727272727273","0.0108363426285074","0.0290662206825152","0.0112737076913713","0.21379154302025","-0.454723249045157","0.0575393453227283","0.88"
"72","10280","Manhattan","0.225050916496945","0.225050916496945","0.220475904323531","0.372727272727273","0.0108363426285074","0.0290662206825152","0.0112737076913713","0.21379154302025","-0.454723249045157","0.0575393453227283","0.03"
"73","10282","Manhattan","0.0242735648476258","0.0242735648476258","0.0663677345290619","0.324442943956786","-0.13384106163835","0.139402699049762","0.372127722611413","0.575912788112935","-2.41625809575692","0.0914764520015248","0.47"
"74","10282","Manhattan","0.0242735648476258","0.0242735648476258","0.0663677345290619","0.324442943956786","-0.13384106163835","0.139402699049762","0.372127722611413","0.575912788112935","-2.41625809575692","0.0914764520015248","0"
"75","10005","Manhattan","0.340552995391705","0.341129032258065","0.217128257669587","0.362941738299905","-0.02045462014879","-0.0253952038940563","-0.368452121422072","0.857479127588363","0.243227689398611","0.0131027253668763","0"
"76","10301","Staten Island","0.0152087399558947","0.0385416666666667","0.018381167365366","0.0722402597402597","-0.00061458318256424","0.00161057476789702","0.0368218624094769","-0.0157776820606282","-0.00591291340792099","-0.0558783552679807","3.04"
"77","10302","Staten Island","0.0781595555315821","0.079196665403562","0.0670023618947645","0.0471622701838529","0.0343984809642776","0.262279018326173","0.0339858114832169","-0.261986774690512","0.0710089077168146","0.0290774325639465","2.3"
"78","10303","Staten Island","0.033754456673384","0.0350795317543655","0.162960365955458","0.0223953261927945","0.0341614698360063","0.182630821099967","-0.0469868458692166","0.0369284509473004","-0.0702409823155998","0.0758103350332414","3.04"
"79","10304","Staten Island","0.000931143157291567","-0.00262531589665579","0.049755346638078","0.0798514391829155","-0.0626907263605107","0.216158846406971","-0.196934372936581","-0.0842134414221694","0.0249020897457036","0.0526916652997065","3.36"
"80","10305","Staten Island","0.0236817848786368","0.0219911557308474","0.125795592025669","0.0794912559618442","-0.0156646039483615","0.0513276606836859","0.0704679219739495","0.302768057182034","0.164884671947832","-0.0958959912543582","1.13"
"81","10306","Staten Island","-0.0309324151718776","-0.032613971549117","0.0288034989065917","0.107963246554364","0.0514896297725731","0.0666928415824235","0.366625100446502","-0.0758992534640903","0.114512442987394","-0.0539103087917598","1.09"
"82","10307","Staten Island","0.071483771251932","0.0629429741855777","-0.0572176606519495","-0.159420289855072","0.176132077958955","0.146484119304239","-0.204372670362763","-1.19461522153911","0.0707907561840147","0.0126754070065802","0.88"
"83","10308","Staten Island","0.0413669064748201","0.040826528911848","0.0191075875719117","0.0574468085106383","0.0818917225871061","0.160721379200763","0.0959845623914376","0.988902638617221","0.318133270680745","-0.0538974594515102","0.51"
"84","10309","Staten Island","0.051010101010101","0.0784068583675656","0.13537566148112","0.0723340790454884","-0.324369632083025","0.169509912312931","-0.170102059485314","-3.30044733397581","-0.396623964539706","0.0625393129860437","0.77"
"85","10310","Staten Island","-0.0314661717563692","-0.0306075062270444","0.105687448094161","-0.0778761061946903","-0.0490173484117982","0.154809204453843","0.263867764341116","-0.0629900156259191","0.129325908964103","-0.10409287471698","2.22"
"86","10312","Staten Island","-0.001277473877297","-0.0029407415926005","0.0371267773164312","0.0546623794212219","-0.109782076407458","0.105381365674508","0.161423682247538","0.311120988796852","0.0858458981529587","-0.0287612710407751","0.45"
"87","10314","Staten Island","0.0226656291685193","0.0249659657294585","0.0140323138494985","0.123603871928518","0.0318271838487084","0.0247398363309648","0.125917369963506","0.179303884158969","0.0703374399244683","-0.0632477323598852","0.7"
"88","10451","Bronx","0.0478648424543947","0.0486951450648783","0.0162348493272545","0.162298387096774","0.00110255118580977","0.290431294587989","0.265403632346087","-0.0326225127520321","-0.00522887762076505","0.467536998115981","5.98"
"89","10452","Bronx","0.0444071143710809","0.0441729687802986","0.0209512607513049","0.134476534296029","0.0240041436008176","0.36987390550874","0.146646077569553","-0.11549220645708","0.0374141414132389","0.0750366582551975","5.12"
"90","10453","Bronx","0.0375644517949217","0.0439867598381758","-0.0695712706277384","0.106519742883379","0.048454349358497","0.24434137056858","0.530190267421181","-0.0721447503642195","0.0236664989850948","-0.546940456406668","6.41"
"91","10454","Bronx","0.0207999172142598","0.0196196563285834","0.105421966391236","0.21203830369357","0.0257234464215238","0.07921962183797","-2.58285645090269","0.0756599399083054","-0.0424028482695172","0.228481499031557","3.68"
"92","10455","Bronx","0.104422200291367","0.106313161336345","0.161246027698223","0.174725274725275","0.0491169664546988","0.243661220496935","0.72730907534466","0.128717990669071","-0.0317817691196583","-1.01927856320236","4.91"
"93","10456","Bronx","0.072580730349541","0.0699763339070568","0.154168537644065","0.139720558882236","0.0170361426539469","0.217420450634314","0.395053586442716","-0.0794542703121122","0.0319145565898604","-0.174204189489364","5.83"
"94","10457","Bronx","0.0826901728603901","0.0835261484338001","0.0958351827193372","0.107497741644083","0.0337773760753247","0.0958912664513143","-0.196412378839108","0.0745756276753785","-0.040678800696959","-0.0275015982025302","6.1"
"95","10458","Bronx","0.12031894031025","0.122005632154482","0.23813377322668","0.100425531914894","0.035690693652755","0.138182844382436","-0.549816307205451","-0.130082461224342","0.0744862829330518","-0.167166000438045","6.76"
"96","10459","Bronx","0.0387565190714797","0.0395876628052921","0.149406102010713","0.130478087649402","-0.0264525374989357","0.220455242842183","-0.185774105930285","0.0690584564313833","-0.0143407619006361","0.047950354609929","6.89"
